Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Call Me By Your Name,"Aciman, André",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Haters,"Andrews, Jesse",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Red Hood,"Arnold, Elana K.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Handmaid's Tale,"Atwood, Margaret",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Forever...,"Blume, Judy",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Flamer,"Curato, Mike",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Carnival at Bray,"Foley, Jessie Ann",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Water for Elephants,"Gruen, Sara",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Homegoing,"Gyasi, Yaa",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Sex: An Uncensored Introduction,"Hasler, Nikol",,"Capozzola, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024
It Ends With Us,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Ugly Love,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Verity,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Crank,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Identical,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Perfect (EH),"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Tilt (EH),"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Tricks,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
I Never,"Hopper, Laura",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Kite Runner,"Hosseini, Khaled",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Kite Runner Graphic Novel,"Hosseini, Khaled",,"Celoni, Fabio; Andolfo, Mirka",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Monday's Not Coming,"Jackson, Tiffany D.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
You: A Novel of Dark Obsession,"Kepnes, Caroline",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Last Night at the Telegraph Club,"Lo, Malinda",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Frost and Starlight,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Mist and Fury,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A ​Court of Silver Flames,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Thorns and Roses,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Empire of Storms,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Kingdom of Ash,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Sold,"McCormick, Patricia",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"Red, White, and Royal Blue","McQuiston, Casey",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Bluest Eye,"Morrison, Toni",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Exit Here.,"Myers, Jason",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"l8r, g8r","Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Shine,"Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
yolo,"Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Breathless (JN),"Niven, Jennifer",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Nineteen Minutes,"Picoult, Jodi",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Persepolis 2: The Story of a Return,"Satrapi, Marjane",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Persepolis: The Story of a Childhood,"Satrapi, Marjane",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024